NumEngine	85

Part	0

EngineType	6
MLName		spot1
ActivePhase	0
DeactivePhase	0
ActiveTime	6
DeactiveTime	7
SoundID		0
ActionName	Spot1
DoorName	SpotDoor1
ImpulseName	SpotImpulse1

Part	1

EngineType	3
MLName		tttttt
ActivePhase	0
DeactivePhase	0
ActiveTime	120
DeactiveTime	120
SoundID		0
ActionName	Passage1
PassageName	F2G

Part	2

EngineType	3
MLName		ttttttt1
ActivePhase	0
DeactivePhase	0
ActiveTime	120
DeactiveTime	120
SoundID		0
ActionName	Passage2
PassageName	F2W

Part	3

EngineType	1
MLName		g1
ActivePhase	0
DeactivePhase	0
ActiveTime	4
DeactiveTime	1
SoundID		0
ActionName	Escave1
DoorName	EscaveDoor1
StartAngle	-1024

Part	4

EngineType	0
MLName		tttttt
ActivePhase	1
DeactivePhase	0
ActiveTime	120
DeactiveTime	120
SoundID		0
NumSensorLink	1
SensorName	PassDoor1
LockFlag	0
Luck	0

Part	5

EngineType	0
MLName		g1
ActivePhase	1
DeactivePhase	0
ActiveTime	0
DeactiveTime	4
SoundID		1
NumSensorLink	2
SensorName	EscaveDoor1
SensorName	EscaveDoor83
LockFlag	0
Luck	0

Part	6

EngineType	0
MLName		ttttttt1
ActivePhase	1
DeactivePhase	0
ActiveTime	120
DeactiveTime	120
SoundID		0
NumSensorLink	1
SensorName	PassDoor2
LockFlag	0
Luck	0

Part	7

EngineType	0
MLName		ttttttt3
ActivePhase	1
DeactivePhase	0
ActiveTime	120
DeactiveTime	120
SoundID		0
NumSensorLink	1
SensorName	PassDoor3
LockFlag	0
Luck	0

Part 8
EngineType	4
MLName		lov4tttttt
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1


Part  9
EngineType	4
MLName		lov4t
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1


Part 10
EngineType	4
MLName		lov4t6
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1

Part 11
EngineType	4
MLName		lov4t7
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1

Part 12
EngineType	4
MLName		lov4tt
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1


Part 13
EngineType	4
MLName		lov4ttt
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1


Part 14
EngineType	4
MLName		lov4tttt
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1


Part 15
EngineType	4
MLName		lov4ttttt
ActivePhase	1
DeactivePhase	0
ActiveTime	1
DeactiveTime	80
SoundID		3
ActionMode	-1

Part 16
EngineType	0
MLName		tain2
ActivePhase	1
DeactivePhase	0
ActiveTime	0
DeactiveTime	0
SoundID		6
NumSensorLink	1
SensorName	SecretSensor01
